2024;Vital statistics of Japan;;;;;;;;;;;;;;;;;;;;;;;;;
 Volume 1 Population Table 4-1 Trends in population by sex: Japan，each prefecture -Total-;;;;;;;;;;;;;;;;;;;;;;;;;;
Note: 1) The population for each year is as of October 1. The Census populations are used for 1935，1947，1950 and every five years thereafter.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　2) The values before 1965 indicate total population，whereas the values after 1970 indicate Japanese population.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　3) The values for 1947 exclude survey omissions due to non-distribution in some regions.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　4) The 73 people (39 males，34 females) in the disputed border area between Yamaguchi Village，Nishichikuma-gun，Nagano and Nakatsugawa City，Gifu in 1960 are included in the total population of the country，;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　　 but not in the population of Nagano or Gifu.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　5) The values for 1970，1975，1980 and 1995 are the final populations of the Population Census. The values for 1990，2000，2005，2010 and 2015 are the final populations of the Population Census (prorated population).;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　　 The values for 2020 are the final populations of the Population Census (result with Imputation).;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　6) Each report for 1970，1975 and 1980 differs from the numbers in this table because the compiled result was based on 1% sample tabulation results.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　7) In the figures for 1985，the national population indicates the Japanese populationand the population per prefecture indicates the total population，;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　　 and the“Preliminary Sample Tabulation of the 1985 Population Census” was used.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　8) The population by prefecture was also changed to indicate the Japanese population from 2016 and the Population Estimates (as of October 1 each year) were used.;;;;;;;;;;;;;;;;;;;;;;;;;;
30 Wakayama;864087;959999;982113;1006819;1002191;1026975;1038348;1067419;1081999;1086600;1069930;1075666;1065104;1030942;997305;967000;958901;949000;939000;929000;918000;916179;907000;896000;884000;871000
31 Tottori;490461;587606;600177;614259;599135;579853;567405;579779;602335;620200;613792;612602;610224;603156;585005;571000;570037;566000;561000;556000;551000;548766;544000;539000;532000;525000
32 Shimane;747119;894267;912551;929066;888886;821620;772000;767357;783143;797500;779317;768865;757072;737753;712516;692000;688953;684000;678000;671000;665000;662115;655000;648000;640000;631000
33 Okayama;1332647;1619622;1661099;1689800;1670454;1645135;1700064;1806484;1862741;1914100;1917173;1937865;1938268;1942414;1926378;1907000;1903981;1896000;1888000;1877000;1866000;1859012;1847000;1832000;1814000;1795000
34 Hiroshima;1804916;2011498;2081967;2149044;2184043;2281146;2422069;2630578;2722521;2820200;2832764;2858462;2855782;2849333;2827820;2801000;2808773;2799000;2789000;2776000;2761000;2746811;2729000;2708000;2682000;2655000
35 Yamaguchi;1190542;1479244;1540882;1609839;1602207;1543573;1497703;1541072;1572752;1588500;1559181;1542204;1515291;1480129;1439011;1397000;1393199;1381000;1369000;1355000;1340000;1326043;1312000;1297000;1279000;1260000
36 Tokushima;728748;854811;878511;878109;847274;815115;790845;804784;824433;831400;830753;830479;821369;805743;781300;760000;751830;746000;739000;731000;723000;713716;706000;698000;688000;678000
37 Kagawa;748656;917673;946022;943823;918867;900845;906951;960233;998442;1034000;1021571;1023865;1017973;1006383;988786;974000;969270;964000;959000;952000;945000;937342;930000;920000;910000;899000
38 Ehime;1164898;1453887;1521878;1540628;1500687;1446384;1416299;1463158;1504298;1533600;1512674;1503411;1488550;1461038;1423425;1388000;1377071;1366000;1354000;1342000;1328000;1322257;1309000;1294000;1277000;1259000
39 Kochi;714980;848337;873874;882683;854595;812714;786058;807035;829609;843400;823853;814302;811516;793365;761239;735000;725032;718000;710000;702000;693000;686982;680000;671000;660000;649000
40 Fukuoka;2755804;3178134;3530169;3859764;4006679;3964611;4004275;4266394;4523770;4753200;4784331;4896451;4984938;5011273;5030961;5046000;5053500;5054000;5051000;5047000;5039000;5055456;5045000;5030000;5011000;4989000
41 Saga;686117;917797;945082;973749;942874;871885;837063;836326;864052;890700;876300;882320;874068;863046;846146;831000;828944;824000;819000;813000;808000;804878;800000;793000;786000;777000
42 Nagasaki;1296883;1531674;1645492;1747596;1760421;1641245;1566634;1568429;1586916;1599500;1558502;1540498;1511864;1472955;1420166;1380000;1369432;1358000;1346000;1333000;1318000;1303067;1288000;1272000;1254000;1237000
43 Kumamoto;1387054;1765726;1827582;1895663;1856192;1770736;1697991;1713300;1788076;1836200;1837612;1855087;1854933;1835575;1809626;1785000;1777726;1765000;1754000;1743000;1731000;1722005;1712000;1699000;1685000;1669000
44 Oita;980458;1233651;1252999;1277199;1239655;1187480;1152520;1187299;1225548;1246300;1233612;1227269;1216436;1202682;1187599;1163000;1157581;1150000;1142000;1132000;1123000;1111592;1102000;1092000;1079000;1066000
45 Miyazaki;824431;1025689;1091427;1139384;1134590;1080692;1050027;1083957;1150321;1183500;1167286;1173631;1167555;1149818;1131381;1110000;1100364;1092000;1083000;1074000;1065000;1062573;1054000;1044000;1032000;1021000
46 Kagoshima;1591466;1746305;1804118;2044112;1963104;1853541;1728075;1722732;1783351;1833600;1795908;1791419;1782567;1748272;1700683;1662000;1642281;1630000;1617000;1604000;1589000;1577022;1565000;1550000;1533000;1513000
47 Okinawa;592494;…;…;…;…;…;…;1036288;1101062;1177000;1217472;1265783;1311482;1354695;1385104;1411000;1422412;1427000;1429000;1432000;1434000;1447245;1449000;1446000;1443000;1437000
